"","ASPEN-WW-12-A","ASPEN-WW-19-B","ASPEN-WW-12-B","ASPEN-WW-15-A","ASPEN-WW-17-B","ASPEN-WW-18-B","ASPEN-WW-20-B","ASPEN-WW-19-A","ASPEN-WW-10-A","ASPEN-WW-11-B","ASPEN-WW-17-A","ASPEN-WW-20-A","ASPEN-WW-13-B","ASPEN-WW-15-B","ASPEN-WW-16-A","ASPEN-WW-18-A","ASPEN-WW-10-B","ASPEN-WW-16-B","ASPEN-WW-13-A","ASPEN-WW-14-A","ASPEN-WW-11-A","ASPEN-WW-8-A","ASPEN-WW-8-B","ASPEN-VV-9-A","ASPEN-VV-9-B","ASPEN-VV-7-A","ASPEN-VV-7-B","ASPEN-WW-3-A","ASPEN-WW-3-B","ASPEN-WW-4-A","ASPEN-WW-4-B","ASPEN-WW-5-B","ASPEN-WW-6-A","ASPEN-WW-6-B","ASPEN-WW-7-A","ASPEN-WW-7-B","ASPEN-WW-9-A","ASPEN-WW-9-B","ASPEN-VV-8-A","ASPEN-WW-5-A","ASPEN-VV-10-A","ASPEN-VV-10-B","ASPEN-WW-2-A","ASPEN-WW-2-B","ASPEN-VV-8-B","ASPEN-VV-19-B","ASPEN-VV-6-A","ASPEN-VV-6-B","ASPEN-WW-1-A","ASPEN-WW-1-B","ASPEN-TT-1-A","ASPEN-TT-1-B","ASPEN-TT-2-A","ASPEN-TT-2-B","ASPEN-TT-3-A","ASPEN-TT-3-B","ASPEN-TT-4-A","ASPEN-TT-4-B","ASPEN-TT-5-A","ASPEN-TT-5-B","ASPEN-TT-6-A","ASPEN-TT-6-B","ASPEN-TT-7-A","ASPEN-TT-7-B","ASPEN-TT-8-A","ASPEN-TT-8-B","ASPEN-TT-10-A","ASPEN-TT-10-B","ASPEN-VV-16-A","ASPEN-VV-18-A","ASPEN-VV-18-B","ASPEN-VV-20-A","ASPEN-VV-20-B","ASPEN-TT-14-A","ASPEN-TT-15-A","ASPEN-VV-12-A","ASPEN-VV-12-B","ASPEN-VV-16-B","ASPEN-VV-17-A","ASPEN-VV-19-A","ASPEN-TT-12-B","ASPEN-TT-15-B","ASPEN-TT-13-B","ASPEN-TT-14-B","ASPEN-TT-18-A","ASPEN-TT-20-B","ASPEN-VV-4-A","ASPEN-VV-4-B","ASPEN-VV-14-A","ASPEN-VV-14-B","ASPEN-VV-17-B","ASPEN-TT-11-A","ASPEN-TT-12-A","ASPEN-TT-16-B","ASPEN-TT-17-A","ASPEN-TT-19-A","ASPEN-TT-20-A","ASPEN-VV-1-A","ASPEN-VV-1-B","ASPEN-VV-2-A","ASPEN-VV-2-B","ASPEN-VV-3-A","ASPEN-VV-3-B","ASPEN-TT-11-B","ASPEN-TT-17-B","ASPEN-VV-11-A","ASPEN-VV-11-B","ASPEN-VV-13-A","ASPEN-VV-13-B","ASPEN-VV-15-A","ASPEN-VV-15-B","ASPEN-TT-13-A","ASPEN-TT-16-A","ASPEN-TT-18-B","ASPEN-TT-19-B","ASPEN-UU-4-A","ASPEN-UU-4-B","ASPEN-UU-5-A","ASPEN-UU-5-B","ASPEN-UU-8-B","ASPEN-UU-9-A","ASPEN-UU-9-B","ASPEN-VV-5-A","ASPEN-VV-5-B","ASPEN-UU-1-A","ASPEN-UU-1-B","ASPEN-UU-2-A","ASPEN-UU-2-B","ASPEN-UU-10-A","ASPEN-UU-10-B","ASPEN-UU-6-A","ASPEN-UU-6-B","ASPEN-UU-13-A","ASPEN-UU-14-B","ASPEN-UU-11-B","ASPEN-UU-20-B","ASPEN-UU-12-A","ASPEN-UU-13-B","ASPEN-UU-14-A","ASPEN-UU-19-A","ASPEN-UU-19-B","ASPEN-UU-17-A","ASPEN-UU-17-B","ASPEN-UU-18-A","ASPEN-UU-18-B","ASPEN-UU-12-B","ASPEN-UU-16-A"
"2002",0.833,0.152,0.713,0.586,0.855,1.26,1.271,0.179,0.168,1.157,0.669,1.078,0.545,1.984,0.602,1.506,0.084,0.946,0.536,1.984,0.956,0.457,0.846,1.823,0.602,2.807,1.844,0.705,0.782,0.387,0.955,0.616,0.385,0.287,1.147,0.799,0.127,0.261,0.626,0.669,0.574,0.854,1.026,0.664,0.556,1.931,0.622,0.687,0.655,0.697,0.628,0.214,0.611,0.724,0.902,0.777,0.863,0.596,0.906,0.444,1.029,0.815,0.665,0.615,1.242,0.925,0.106,0.167,1.94,1.971,1.554,1.268,1.632,1.391,2.349,1.329,1.774,1.8,1.773,1.464,1.297,1.658,2.459,1.836,1.912,2.296,2.066,2.206,1.605,1.633,1.84,1.114,1.38,1.509,2.334,1.659,1.977,1.453,1.522,1.115,1.126,0.914,0.848,1.202,1.981,1.82,2.301,1.362,1.683,1.188,1.474,1.771,2.058,1.245,1.564,2.306,4.064,2.253,1.151,2.999,0.713,1.27,1.607,1.695,1.355,1.146,2.292,2.421,2.535,1.152,3.912,3.58,4.313,3.901,3.389,2.891,5.339,4.192,3.422,7.551,6.508,3.024,5.155,3.163,3.506,5.799,5.298
"2003",0.474,0.112,0.58,0.294,0.671,1.488,0.972,0.229,0.176,1.192,0.615,0.881,0.414,1.028,0.818,1.16,NA,0.793,0.596,1.759,0.951,0.847,0.764,0.609,0.161,1.498,0.921,0.664,0.742,0.419,1.284,0.463,0.376,0.121,0.711,0.706,0.078,0.199,0.592,0.667,0.252,0.264,1.314,0.898,0.313,1.519,0.27,0.233,0.847,0.53,0.261,0.244,0.605,0.837,1.056,0.878,0.793,0.564,0.826,0.534,0.895,0.908,0.675,0.716,1.212,0.839,0.119,0.138,1.096,0.976,0.654,0.955,1.287,1.362,2.223,1.163,1.438,1.026,1.036,1.421,1.668,1.476,2.063,1.401,1.182,2.064,1.218,1.673,1.644,1.581,1.061,0.918,1.437,1.184,2.457,0.895,1.962,1.552,1.39,0.634,0.691,0.914,0.894,0.825,2.826,1.837,1.998,1.401,1.693,0.728,0.865,1.447,1.628,0.689,1.514,2.27,2.674,1.198,0.809,1.641,0.234,0.97,1.254,1.378,0.888,0.988,1.405,1.436,2.928,0.882,3.275,3.113,4.237,1.999,3.53,2.896,4.292,3.621,2.207,5.754,4.735,2.906,4.306,2.657,3.364,4.397,3.745
"2004",0.627,NA,0.53,0.125,0.402,0.954,0.921,0.092,0.115,0.758,0.474,0.587,0.148,0.48,0.436,0.793,NA,0.795,0.251,0.814,0.513,0.649,0.248,0.79,0.244,0.765,0.627,0.368,0.332,0.359,0.709,0.22,0.235,0.117,0.443,0.301,0.124,0.159,0.467,0.249,0.426,0.388,0.649,0.205,0.388,0.797,0.099,0.295,0.283,0.13,0.158,0.135,0.705,0.869,0.874,1.031,1.044,0.546,0.848,0.345,0.942,0.872,0.448,0.5,1.046,1.307,0.098,0.144,1.087,0.655,0.402,1.844,0.995,1.036,1.211,0.821,1.109,1.078,1.14,0.979,1.257,1.65,2.156,1.623,0.834,2.039,1.518,1.803,1.188,1.238,0.796,0.585,1.494,0.656,2.417,1.604,1.61,0.968,1.133,0.576,0.384,0.951,0.681,0.678,1.952,1.47,1.201,1.154,1.867,0.914,0.575,1.5,0.978,0.676,1.847,3.202,1.634,1.245,1.144,1.047,1.114,0.845,1.035,0.943,0.696,1.438,1.339,1.745,2.703,0.665,2.636,3.472,3.267,2.259,2.965,4.124,4.6,3.251,2.302,5.531,6.639,3.757,4.723,2.999,3.608,4.851,2.227
"2005",0.422,NA,0.501,0.338,0.254,0.691,0.314,0.133,0.122,0.259,0.163,0.175,0.533,0.503,0.425,0.462,NA,0.415,0.223,0.713,0.508,0.37,0.29,1.202,0.19,1.462,1.195,0.281,0.219,0.542,0.501,0.169,0.094,0.083,0.363,0.149,0.077,0.249,0.601,0.085,NA,NA,0.181,0.252,0.45,2.19,0.2,0.646,0.283,0.301,0.266,0.26,1.6,1.374,1.406,1.677,1.634,0.873,1.615,0.8,2.021,1.636,1.345,1.384,2.072,2.419,0.053,0.098,1.765,1.499,1.502,2.018,1.808,1.134,2.805,1.509,1.569,2.033,1.864,2.313,1.6,2.285,2.638,1.56,1.886,2.327,2.455,3.129,1.992,1.978,1.631,1.211,1.879,0.95,2.747,2.588,2.297,2.397,2.487,1.551,1.26,1.87,1.138,0.899,3.626,2.127,2.515,1.997,2.488,1.43,1.255,2.088,1.424,1.433,3.118,2.876,1.871,1.207,0.598,0.448,0.052,0.748,2.318,1.731,0.753,0.91,1.98,1.148,1.714,0.1,2.01,2.879,2.787,2.179,3.604,3.713,3.849,2.476,1.856,3.629,4.641,3.653,3.783,1.74,2.087,4.087,4.112
"2006",0.242,NA,0.536,0.521,0.325,0.918,0.498,0.132,0.093,0.276,0.329,0.289,0.756,0.649,0.415,0.71,NA,0.767,0.564,0.828,0.564,0.438,0.501,1.536,0.536,2.211,1.275,0.521,0.515,0.382,1.03,0.302,0.212,0.158,0.37,0.36,0.187,0.137,0.554,0.424,NA,NA,0.729,0.298,0.382,2.192,0.534,0.478,0.505,0.646,0.423,0.285,1.391,1.133,1.507,1.318,1.181,0.648,1.168,0.715,1.264,1.431,1.174,1.256,1.779,1.858,0.039,0.104,2.434,2.33,1.711,0.923,2.011,1.803,2.572,1.934,1.882,2.262,2.398,2.852,1.793,2.003,3.257,1.646,1.462,2.053,3.259,3.601,2.242,2.158,2.102,1.222,1.506,1.645,3.302,2.125,1.847,2.496,2.935,1.691,1.689,1.469,1.365,1.301,3.371,2.576,3.153,2.433,2.698,1.818,1.275,1.694,1.871,1.804,2.196,3.56,2.289,1.473,1.522,2.069,1.004,0.691,2.236,2.064,0.694,0.879,0.269,0.107,0.169,0.577,3.353,4.418,2.217,3.9,5.477,5.305,4.134,2.815,3.179,2.645,4.602,3.947,4.348,2.578,3.452,5.069,5.581
"2007",0.319,NA,0.73,0.289,0.4,1.588,1.171,NA,NA,0.747,0.753,0.588,0.261,0.972,0.403,1.551,NA,0.575,0.317,1.719,0.598,0.485,0.556,1.076,0.629,1.908,0.792,0.601,0.894,0.318,0.745,0.408,0.119,0.116,0.472,0.193,0.143,0.098,0.486,0.423,NA,NA,1.011,0.065,0.384,1.292,0.262,0.57,0.801,0.83,0.175,0.171,1.026,1.292,1.352,1.123,1.186,0.614,0.834,0.671,1.54,1.139,1.134,1.244,1.649,1.961,0.085,0.102,0.954,1.388,1.208,1.069,0.885,2.652,2.698,1.456,1.139,1.006,1.263,1.159,1.575,1.874,1.261,2.474,1.004,2.04,2.209,3.003,2.115,2.165,0.957,0.882,1.678,0.901,3.276,2.325,1.534,2.57,2.908,2.921,1.306,1.225,0.663,0.679,3.155,1.992,2.4,1.742,1.786,1.093,1.04,0.791,1.481,1.161,2.668,3.163,2.559,1.817,1.981,2.454,0.539,0.576,1.433,1.931,1.169,1.303,0.587,0.899,1.473,0.725,4.605,4.806,3.548,3.62,4.56,4.508,5.228,4.296,3.424,NA,6.78,3.605,4.576,2.348,3.422,6.41,6.347
"2008",0.777,NA,0.551,0.68,0.254,1.2,1.014,NA,NA,0.669,0.459,0.708,0.775,0.529,0.176,1.545,NA,0.476,0.958,1.449,0.769,0.394,0.482,1.776,0.577,2.948,1.553,0.694,0.523,0.572,0.677,0.32,0.082,0.153,0.329,0.277,0.259,0.494,0.926,0.334,NA,NA,0.537,0.077,0.673,0.948,0.459,0.83,0.824,0.596,0.143,0.198,1.273,1.38,1.437,1.477,1.664,0.55,0.889,0.551,1.85,1.113,1.115,1.309,1.419,1.798,NA,NA,1.256,1.734,1.449,1.544,1.11,2.013,2.328,1.692,1.478,1.237,1.84,1.455,1.674,1.805,0.542,1.852,0.925,1.864,1.885,2.851,2.391,2.387,1.11,0.793,1.096,1.054,2.203,1.528,2.353,2.231,2.353,1.727,1.465,0.885,0.641,0.889,3.143,2.206,2.75,1.804,2.387,1.192,1.284,0.297,1.678,1.043,1.997,3.352,2.347,2.089,1.54,0.5,0.381,0.075,1.618,1.453,0.985,0.904,0.778,0.129,1.879,0.408,2.409,3.761,3.143,3.395,4.494,3.653,4.781,3.601,2.195,NA,5.272,3.011,3.823,3.019,3.403,5.924,5.43
"2009",0.944,NA,NA,0.51,0.158,0.949,1.19,NA,NA,0.752,0.424,1.107,1.131,0.715,NA,0.977,NA,0.369,1.546,1.318,0.974,0.375,0.451,1.567,0.829,2.888,2.039,0.4,0.507,0.53,0.42,0.296,0.235,NA,0.269,0.483,NA,NA,0.956,0.137,NA,NA,0.519,0.642,0.531,1.635,0.571,0.823,0.682,0.896,0.12,0.187,1.701,0.959,1.345,1.504,1.504,0.563,1.509,0.482,1.547,0.754,1.105,1.03,1.376,1.704,NA,NA,1.496,2.405,2.073,1.185,1.551,2.057,2.091,2.329,1.737,1.929,2.2,1.841,1.627,1.881,0.43,1.883,0.57,1.975,2.186,3.071,2.279,2.277,1.638,1.095,1.301,1.176,2.724,1.753,1.613,2.505,2.97,1.328,1.566,1.234,0.793,1.147,2.838,2.135,3.123,1.758,2.438,1.562,1.566,0.257,2.037,1.175,1.892,3.523,2.537,1.84,1.985,1.596,1.076,0.536,1.899,1.488,0.862,1.148,0.451,0.835,1.239,1.215,2.012,2.81,3.464,2.48,4.751,4.397,4.088,3.669,1.599,NA,4.828,2.388,2.463,2.788,3.886,4.272,3.441
"2010",NA,NA,NA,0.726,NA,1.644,1.108,NA,NA,1.21,0.138,1.052,0.519,0.942,NA,1.138,NA,NA,1.262,2.148,1.033,0.606,0.727,0.173,0.907,1.716,1.204,0.992,0.98,0.135,0.709,0.724,0.122,NA,0.615,NA,NA,NA,0.298,0.61,NA,NA,1.344,0.527,0.406,1.23,0.245,NA,0.631,0.263,0.13,0.195,1.683,0.956,1.055,1.347,1.287,0.555,0.927,0.431,1.488,1.398,1.173,0.864,1.236,1.71,NA,NA,1.356,1.432,1.728,NA,1.141,1.53,1.562,1.404,1.269,1.406,1.342,0.771,0.922,1.566,NA,1.302,1.261,1.221,2.226,2.022,1.977,1.962,0.732,1.087,0.709,1.188,2.402,1.51,1.124,2.855,2.138,1.094,0.886,1.206,0.554,0.645,2.46,1.15,2.433,1.167,1.409,1.446,1.014,NA,1.647,1.257,1.832,1.255,0.463,2.84,1.43,0.184,0.268,0.097,1.969,2.057,0.799,0.935,0.254,0.124,1.349,0.326,2.91,3.255,1.482,2.308,3.778,3.525,3.975,1.484,1.787,NA,4.631,3.006,2.736,NA,NA,3.824,NA
"2011",NA,NA,NA,NA,NA,1.022,0.922,NA,NA,1.152,NA,0.594,NA,0.457,NA,1.185,NA,NA,NA,0.627,NA,NA,0.241,NA,NA,0.514,NA,NA,NA,NA,NA,0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.061,NA,NA,NA,NA,NA,0.126,NA,NA,0.077,0.24,0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156,NA,0.178,NA,NA,0.126,0.164,0.156,0.171,NA,NA,NA,NA,0.068,0.087,0.084,0.415,0.248,0.274,0.202,NA,NA,NA,0.096,0.087,NA,0.131,NA,0.146,NA,NA,0.168,0.169,NA,NA,0.097,0.148,NA,0.228,0.228,0.18,NA,NA,NA,NA,0.229,0.174,2.071,1.669,0.111,0.132,NA,0.12,0.219,0.465,0.479,NA,NA,0.306,NA,1.665,2.293,NA,1.607,0.223,NA,3.573,NA,1.193,NA,3.783,2.091,1.799,NA,NA,3.62,NA
